date,Source,UNITONBT,SO2TONS,HEATINBA,NH3TONS,UNITONBA,HEAT_QA,HEATINBT,GFLOW_BA,NOXTONS,LOADMWBA,COTONS,LOADMWBT,Emissions_Load_SO2TONS,Emissions_Load_NOXTONS,Emissions_Load_COTONS,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/11/2023,LAKE-4,1440.0,0.00473886,658.175,0.017510161,60.0,15796.2,15796.2,6405.008404,0.090454149,70.81486069,0.05631205,1699.556657,6.691900476574954e-05,0.0012773328665571084,0.0007952010277406647,13.2,6.1,18.9,0.0,0.0,243,19.1,1019.1
1/12/2022,LAKE-2,243.0,0.000651518,457.68,0.006809007,48.6,2288.4,2288.4,4405.626768,0.013730863,47.55614813,0.003656168,237.7807407,1.3699974148852498e-05,0.0002887295027020516,7.688107939283603e-05,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4
1/12/2022,LAKE-4,876.0,0.002364914,537.1333333,0.010955973,58.4,8057.0,8057.0,5170.669881,0.047767573,55.57000571,0.021665525,833.5500856,4.2557382706448535e-05,0.0008595927315408584,0.00038987804163750917,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4
1/12/2023,LAKE-1,1440.0,0.00469599,652.2208333,0.026755152,60.0,15653.3,15653.3,6346.949364,0.086233286,70.30323958,0.03558805,1687.27775,6.679621064483526e-05,0.001226590503014769,0.0005062078250249532,10.2,0.0,15.6,0.0,0.0,28,13.7,1029.5
1/12/2023,LAKE-2,1045.0,0.003321083,622.2944444,0.030905397,58.05555556,11201.3,11201.3,6055.810126,0.061944498,66.28853344,0.029651341,1193.193602,5.0100414470717246e-05,0.0009344677696945592,0.0004473072409550053,10.2,0.0,15.6,0.0,0.0,28,13.7,1029.5
1/12/2023,LAKE-3,1098.0,0.003491486,590.44,0.026309247,54.9,11808.8,11808.8,5745.934771,0.065478423,61.30201891,0.019144238,1226.040378,5.695548143570921e-05,0.001068128328630278,0.0003122937603100224,10.2,0.0,15.6,0.0,0.0,28,13.7,1029.5
1/12/2023,LAKE-4,1.0,2.58e-08,4.3,2.41321e-06,1.0,4.3,4.3,42.093614,5.45198e-07,0.167281821,3.01e-07,0.167281821,1.542307457305836e-07,3.259158686465997e-06,1.7993587001901422e-06,10.2,0.0,15.6,0.0,0.0,28,13.7,1029.5
1/13/2022,LAKE-3,448.0,0.001549856,663.1375,0.013107244,56.0,5305.1,5305.1,6383.57982,0.030518803,73.8842022,0.00569929,591.0736176,2.097682527321111e-05,0.0004130626316758144,7.713814090558049e-05,6.7,-3.2,17.8,0.0,0.0,11,5.4,1022.7
1/13/2022,LAKE-4,489.0,0.001309094,443.51,0.006280074,48.9,4435.1,4435.1,4269.354483,0.028336084,45.22337202,0.014397434,452.2337202,2.8947288570632334e-05,0.0006265805209631071,0.00031836268188123495,6.7,-3.2,17.8,0.0,0.0,11,5.4,1022.7
1/13/2023,LAKE-1,1440.0,0.00497301,690.6958333,0.025552159,60.0,16576.7,16576.7,6721.417465,0.091372392,75.946311,0.0354378,1822.711464,6.548059984111671e-05,0.001203118239673287,0.0004666164759470674,6.5,-3.2,17.8,0.0,0.0,18,7.6,1027.3
1/13/2023,LAKE-2,785.0,0.00252171,576.14,0.025228238,52.33333333,8642.1,8642.1,5606.567482,0.049845749,62.38264644,0.027856642,935.7396966,4.042326101739521e-05,0.0007990322925453626,0.00044654472981989766,6.5,-3.2,17.8,0.0,0.0,18,7.6,1027.3
1/13/2023,LAKE-3,1064.0,0.003471998,648.4333333,0.028314572,59.11111111,11671.8,11671.8,6310.092187,0.067500139,67.93545775,0.015985108,1222.83824,5.1107302651537665e-05,0.0009935921716815105,0.0002352984513451667,6.5,-3.2,17.8,0.0,0.0,18,7.6,1027.3
1/14/2022,LAKE-3,117.0,0.000268089,453.45,0.002717574,58.5,906.9,906.9,4365.210805,0.004778481,43.45754165,0.00089363,86.9150833,6.168986781607329e-06,0.00010995746235452322,2.056328927202443e-05,10.1,0.0,21.7,0.0,0.0,320,13.3,1014.3
1/14/2022,LAKE-4,725.0,0.002098776,516.7214286,0.009763973,51.78571429,7234.1,7234.1,4974.188666,0.04273948,55.25568289,0.018937294,773.5795604,3.798298908327907e-05,0.0007734856898806848,0.00034272120096134423,10.1,0.0,21.7,0.0,0.0,320,13.3,1014.3
1/14/2023,LAKE-1,1440.0,0.00443316,615.7166667,0.019869747,60.0,14777.2,14777.2,5991.704564,0.08138124,65.21441244,0.0365131,1565.145899,6.797822496796538e-05,0.0012479026791029383,0.0005598931069660956,7.6,-2.7,20.0,0.0,0.0,79,9.0,1018.3
1/14/2023,LAKE-2,1440.0,0.0039633,550.4583333,0.032519401,60.0,13211.0,13211.0,5356.781558,0.072749942,55.56525886,0.04937895,1333.566213,7.132694207338748e-05,0.0013092702795337971,0.0008886658860784438,7.6,-2.7,20.0,0.0,0.0,79,9.0,1018.3
1/15/2022,LAKE-1,9.0,1.017e-06,22.6,1.03144e-06,9.0,22.6,22.6,217.332734,0.000223352,0.105633301,8.6445e-05,0.105633301,9.627645736451992e-06,0.0021144089779036633,0.0008183498875984194,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9
1/15/2022,LAKE-3,344.0,0.001082892,533.9,0.009789102,49.14285714,3737.3,3737.3,5139.687748,0.0233575,58.77734908,0.00586438,411.4414435,1.842362775711626e-05,0.00039738947682395207,9.977278818781324e-05,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9
1/15/2022,LAKE-4,955.0,0.003104189,648.71875,0.014127165,59.6875,10379.5,10379.5,6244.783974,0.061910513,72.17606444,0.033229272,1154.817031,4.300856556927558e-05,0.0008577706955948843,0.00046039185231031135,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9
1/15/2023,LAKE-1,1440.0,0.00459465,638.1458333,0.026865089,60.0,15315.5,15315.5,6209.915649,0.084528639,69.08388531,0.0298936,1658.013247,6.650827438819392e-05,0.0012235652152552622,0.0004327145160677993,15.6,12.2,20.0,0.0,0.0,228,30.2,1010.6
1/15/2023,LAKE-2,852.0,0.002279942,517.9266667,0.021690378,56.8,7768.9,7768.9,5040.250268,0.043545152,52.67726201,0.02352456,790.1589301,4.32813307488758e-05,0.0008266403821772968,0.0004465790191512651,15.6,12.2,20.0,0.0,0.0,228,30.2,1010.6
1/15/2023,LAKE-3,309.0,0.000895131,504.2666667,0.007650994,51.5,3025.6,3025.6,4907.183596,0.017157249,51.54122374,0.003480722,309.2473424,1.7367282634100685e-05,0.0003328840053652944,6.753277759873382e-05,15.6,12.2,20.0,0.0,0.0,228,30.2,1010.6
1/16/2022,LAKE-3,336.0,0.001091637,630.3166667,0.010813672,56.0,3781.9,3781.9,6067.634612,0.022640243,70.18194215,0.00468522,421.0916529,1.5554385737385867e-05,0.0003225935661856004,6.67581981414289e-05,4.7,-3.2,13.9,0.0,0.0,2,3.6,1021.2
1/16/2022,LAKE-4,996.0,0.003345919,625.8944444,0.01486087,55.33333333,11266.1,11266.1,6025.124617,0.06471341,70.53271277,0.034261431,1269.58883,4.7437832299328985e-05,0.0009174949815275622,0.0004857523502849386,4.7,-3.2,13.9,0.0,0.0,2,3.6,1021.2
1/16/2023,LAKE-1,1440.0,0.00498768,692.7333333,0.031038831,60.0,16625.6,16625.6,6741.233868,0.091564069,76.81206278,0.03476475,1843.489507,6.493355105285196e-05,0.0011920532490092305,0.0004525949276947669,11.1,8.3,11.7,1.0,0.0,271,15.5,1012.6
